project	sample	nasvs	nreads	latitude	longitude	environment	subcategory	subcategory_old
Tara_Oceans	BZM_AAHAOSTA_1_1_HYN2WBCX2.12BA082	4604	494655	39.2392	-70.0343	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAHDOSTA_1_1_HYN2WBCX2.12BA023	5188	421230	34.1504	-56.9684	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAHFOSTA_1_1_HYN2WBCX2.12BA047	5002	454457	34.0771	-49.8233	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAHKOSTA_1_1_HYN2WBCX2.12BA012	4046	516513	43.7182	-16.8714	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAJZOSTA_1_1_HV57HBCXY.12BA080	934	204779	-23.0244	-134.9233	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AALLOSTA_2_1_HYGGYBCXY.12BA110	5675	396665	29.851	-79.7064	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AALMOSTA_2_1_HYGGYBCXY.12BA122	4312	358457	29.6394	-79.5395	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAMWOSTA_1_1_HTNJVBCXY.12BA329	4922	696212	-0.6625	73.161	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAMYOSTA_1_1_HTNJVBCXY.12BA353	6797	583001	4.6599	73.4856	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AANROSTA_1_1_HTNJVBCXY.12BA296	995	567632	-64.3595	-53.0063	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AANTOSTA_1_1_HTNJVBCXY.12BA320	1734	615993	-63.4015	-56.7938	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAOIOSTA_1_1_HTNJVBCXY.12BA310	5859	489743	9.8481	-80.0454	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAOYOSTA_1_1_HTNJVBCXY.12BA312	2435	465565	-54.3739	-65.1342	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAQTOSTA_1_1_HYFJJBCXY.12BA054	3916	540690	-23.1595	-134.9236	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAQUOSTA_1_1_HYFJJBCXY.12BA066	4776	532057	-23.2317	-134.9611	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAQYOSTA_1_1_HYFJJBCXY.12BA019	5335	468918	-23.2329	-134.9606	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAQZOSTA_1_1_HYFJJBCXY.12BA031	4483	559859	-23.1571	-135.018	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AARGOSTA_1_1_HYFJJBCXY.12BA020	4220	574811	-23.1571	-135.018	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AARJOSTA_1_1_HYFJJBCXY.12BA056	1353	700632	-63.8768	-56.0916	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAROOSTA_1_1_HYFJJBCXY.12BA021	7925	494047	-23.0242	-134.9232	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AASAOSTA_1_1_HYFJJBCXY.12BA070	6748	528851	-23.0244	-134.9228	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAVQOSTA_2_1_HV57HBCXY.12BA147	919	306544	-64.3183	-53.1081	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAVROSTA_2_1_HV57HBCXY.12BA159	858	276739	-64.3595	-53.0063	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAVSOSTA_1_1_HV57HBCXY.12BA171	1158	286388	-63.4015	-56.7938	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAVSOSTA_2_1_HV57HBCXY.12BA171	1137	287188	-63.4015	-56.7938	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAWEOSTA_1_1_HV57HBCXY.12BA125	4806	251129	29.851	-79.7064	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAWEOSTA_2_1_HV57HBCXY.12BA125	4892	251713	29.851	-79.7064	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAWFOSTA_1_1_HV57HBCXY.12BA137	5207	244526	29.6394	-79.5395	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAWFOSTA_2_1_HV57HBCXY.12BA137	5272	246399	29.6394	-79.5395	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAWJOSTA_1_1_HV57HBCXY.12BA185	4476	223845	9.8481	-80.0454	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAWJOSTA_2_1_HV57HBCXY.12BA185	4538	224381	9.8481	-80.0454	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAWKOSTA_1_1_HV57HBCXY.12BA102	5533	248091	36.3698	-72.9669	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAXDOSTA_2_1_HV57HBCXY.12BA140	6764	231940	-2.0465	72.1568	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAXIOSTA_2_1_H32WHBCX2.12BA049	5133	667914	-31.0198	4.6685	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAXJOSTA_2_1_H32WHBCX2.12BA061	4819	597536	2.0649	-84.5546	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAXPOSTA_2_1_H32WHBCX2.12BA038	5250	591676	-8.9729	-139.2393	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAXQOSTA_2_1_H32WHBCX2.12BA050	5825	575708	0.0063	-84.585	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAXSOSTA_2_1_H32WHBCX2.12BA074	4508	648551	22.7546	-158.0067	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAXVOSTA_2_1_H32WHBCX2.12BA015	5361	704264	-23.2232	-129.5986	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAXZOSTA_2_1_H32WHBCX2.12BA063	4007	576036	6.3559	-103.0598	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAYCOSTA_2_1_H32WHBCX2.12BA004	4609	964726	34.6663	-71.2907	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAYDOSTA_2_1_H32WHBCX2.12BA016	3858	750314	39.2392	-70.0343	Marine	Mesopelagic zone	marine_mesopelagic
