Sample,Pquery,Multiplicity,"LWR 1","LWR 2","LWR 3","LWR 4","LWR 5"
epa_result,caa23d99a652f17da1ac3cd81418c11d8bf75879;size=101111,1,0.237528,0.233528,0.233465,0.128142,0.0725789
epa_result,2e65732ca3d6449e1a821cf4eb9e8d20f74f257c;size=15,1,0.968117,0.0158813,0.0158474,0,0
epa_result,2632e1df0a35a009ca06241e88f6571afcc297de;size=25,1,0.358763,0.164345,0.125387,0.119731,0.118213
epa_result,78d4b38e66a3167d8f4a27d53c25835a934b527e;size=130,1,0.411156,0.410714,0.143084,0.0136928,0.0133676
epa_result,fe576d691164edd40a209c903f654f719d0d2df1;size=203,1,0.796048,0.190801,0.0114223,0,0
epa_result,2686f87dec5493ca607dc7c6c09301931f334f86;size=19,1,0.567459,0.161152,0.151867,0.0877231,0.0264139
epa_result,152a9dcb57bb040a3d263bd596395e7a0e10f62d;size=14,1,0.250992,0.249077,0.242856,0.0852486,0.085011
epa_result,00d9545f825571986a8c2bea1273b27714ad1df8;size=16,1,0.874496,0.0633778,0.0278024,0.0277359,0
epa_result,70de63ed5ae41d60b6b7ec5806132fc075ad5d8d;size=24,1,0.923296,0.0489904,0.0125783,0.0125584,0
epa_result,5a6563eb1a4f33b5ca9eeabb8249481789dec07f;size=237,1,0.509354,0.338719,0.113256,0.0124423,0.0116983
epa_result,144bbccd3fe0475cb7aa46c85cfebf7db3f3f886;size=15,1,0.62453,0.29821,0.0685194,0,0
epa_result,e4bc52ebf7ef273d234faeaa24a88bb411cd21a6;size=72,1,0.352377,0.187619,0.166581,0.109879,0.04932
epa_result,9f6482d60ede3f6f311fe13f689d1b223b1ba002;size=1196,1,0.999469,0,0,0,0
epa_result,a023265ea0f37c8e5df62bf679a13a985504b520;size=148,1,0.503707,0.496293,0,0,0
epa_result,7901e578478a97e38ebbab92918d1ca281cff768;size=27,1,0.493802,0.480502,0.0128547,0.0128413,0
epa_result,d8fcded1968477322f50af5dfc135a624fe05740;size=294,1,0.699807,0.150465,0.149727,0,0
epa_result,d31e6d6b5378388f57d2a7a8d181148e1ec25bed;size=22,1,0.998047,0,0,0,0
epa_result,56aa021484c44938604b485e480620abf4169424;size=27,1,0.664757,0.16802,0.167223,0,0
epa_result,5edfd5cdd45ef2053c6ff7208df7011816128f8b;size=15,1,0.350512,0.324763,0.324725,0,0
epa_result,e74397b5af65e31534ec9223cd59ffa0143ba633;size=166,1,0.556193,0.222253,0.221429,0,0
epa_result,5ec79956ff98687c50bf5a971a5de493c55ccd1f;size=593,1,0.531385,0.301884,0.154227,0.0115239,0
epa_result,dbdfd1b74734f69453f11a0996ceb5c0b9ffe5b2;size=10,1,0.879832,0.0604221,0.0597461,0,0
epa_result,07dfd93ea43185db8e2568c55d198fd538d66044;size=17,1,0.50138,0.49862,0,0,0
epa_result,716d83af0aeaecab82ff6ef96d7185fea37f5281;size=107,1,0.50142,0.49858,0,0,0
epa_result,2d3c9c7d9f729d2fe1c3f88eaa80b3fc185db905;size=3198,1,0.637961,0.266599,0.0902701,0,0
epa_result,41c56f04682f1b2125d2500d0ee655211bb42a4b;size=15,1,0.72657,0.137287,0.136143,0,0
epa_result,0c3d23465101b525bfa16530e095b32613279276;size=11,1,0.694013,0.0913375,0.0415108,0.0382033,0.0371369
